"Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare,Vadītājs/ direktors,Dibināšanas gads,Sākums,Misija,Darbība,Mājaslapas raksturojums,Mājaslapas adrese,Izveides (un pārveides) gads,Kas aktualizē informāciju,""Svešvalodas, kurās pieejama mājaslapa"",Mājaslapā pieejamā informācija,Mājaslapas apmeklējumu skaits,Akreditācijas apliecības nr.,Akreditācijas datums,Muzejs akreditēts līdz,Muzeja šifrs,Klasifikācija saskaņā ar Muzeju likuma 1.pantu,Juridiskais statuss,Padotība/piederība,Dalība organizācijās,Papildus informācija,Darbības virzieni/funkcijas,Kopējais krājuma vienību skaits 2017.gada beigās,tai skaitā pamatkrājuma vienību skaits,Kopējais jauniegūto vienību skaits,t.sk. pamatkrājuma vienību skaits,Pārskata periodā konservēto un restaurēto krājuma vienību skaits,Kopējais izņemto vienību skaits,No pamatkrājuma izņemto vienību skaits,""Krājuma vienību skaits, kam veikta esības pārbaude"",""Vienību skaits, kas netika atrastas"",""Vienību skaits, kam konstatēti būtiski bojājumi"",Kopkatalogā ievadīto krājuma vienību kopskaits,no tām pārskata gadā ievadīto vienību skaits,2017.gadā eksponēto pamatkrājuma vienību skaits,Krājuma vienību kopskaits pamatekspozīcijās,tai skaitā izmantoto pamatkrājuma vienību skaits,Izmantoto krājuma vienību kopskaits izstādēs,tai skaitā izmantoto pamatkrājuma vienību skaits,Kopējais ārpusmuzeja izstādēs izmantoto krājuma vienību skaits,tai skaitā kopējais izmantoto pamatkrājuma vienību skaits,Kopējais deponēto krājuma vienību skaits,Kopējais deponēto pamatkrājuma vienību skaits,Izstāžu un ekspozīciju plānu skaits,no tiem realizēti,Izglītojošo programmu scenāriju skaits,no tām uzsāktas īstenot,Jaunizveidotas zinātniskā apraksta kartītes,Papildinātās zinātniskā apraksta kartītes,Tai skaitā bezmaksas apmeklējumu skaits,""Dienu skaits gadā, kad muzejs atvērts apmeklētājiem"",""Stundu skaits gadā, kad muzejs pieejams apmeklētājiem"",""Stundu skaits gadā, kad muzejs pieejams apmeklētājiem brīvajā laikā"",Papildu informācija,Muzeja darbinieku vadīto ekskursiju skaits muzejā,Lekciju skaits muzejā,Muzejpedagoģiskās programmas formālās izglītības ietvaros - NORIŠU skaits,Muzejpedagoģiskās programmas formālās izglītības ietvaros - KLAUSĪTĀJU skaits,Muzejpedagoģiskās programmas kā MŪŽIZGLĪTĪBAS sastāvdaļa - NORIŠU skaits,Muzejpedagoģiskās programmas kā MŪŽIZGLĪTĪBAS sastāvdaļa - KLAUSĪTĀJU skaits,Citu muzeja rīkoto pasākumu skaits,tai skaitā muzejā,Pasākumi sabiedrības viedokļa izzināšanai par muzeja darbu,Izstāžu skaits muzejā 2017.gadā,Tai skaitā atklātas pārskata periodā,Tai skaitā no muzeja krājuma,Ārpus muzeja eksponēto izstāžu skaits,tai skaitā atklātas pārskata periodā,Izstāžu eksponēšanas vietu skaits ārpus muzeja,Pastāvīgo ekspozīciju skaits,no tām pārskata periodā atklātās ekspozīcijas,Teritorijas kopējā platība (m2),Telpu kopplatība (m2),Telpās ir iespējamas norises,Bezmaksas Wi-Fi,Izmaiņas darbībā";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1991. gada barikāžu muzejs,LV-MUZ-001464,""Krāmu iela 3, Rīga, LV-1050"",56.94861,24.10595,311671,506445,Muzeji,Renārs Zaļais,,,""Apzināt, saglabāt, izpētīt un popularizēt garīgās un materiālās liecības par 1991.gada janvāra un augusta notikumiem Latvijā, kas ir valstiskuma atjaunošanas un nacionālās atmodas kulminācija.";;Veicināt nacionāli patriotisko jūtu veidošanos skolu un studējošajā jaunatnē.;;Saglabāt 1991.gada janvāra barikāžu un augusta puča upuru piemiņu.;,Muzeja mērķis ir ar muzejā uzkrātā kultūrvēsturiskā materiāla palīdzību sekmēt sabiedrības izpratni par 1991.gada janvāra un augusta notikumiem kā cīņas par Latvijas valstiskuma atjaunošanas un nacionālās Atmodas kulmināciju.;;Muzejs, atbilstoši savam profilam un muzeja misijai, veic šādas funkcijas:;1. Materiālās un nemateriālās kultūras vērtību uzkrāšana, dokumentēšana un saglabāšana;;2. Muzeja krājuma un ar to saistītās informācijas pētniecība;;3. Sabiedrības izglītošana, materiālās un nemateriālās kultūras popularizēšana, apmeklētāju iesaistīšana pasākumos un intereses radīšana par Latvijas neseno pagātni, neatkarības centieniem, vērtībām un tradīcijām.;",,http://barikades.lv/lv/index/,,administratore,Krievu valoda;Angļu valoda,Darba laiki;Pakalpojumi;Atrašanās vieta,,66AA,19.06.2013,18.06.2018,BAF,Privāts,Biedrība,1991.gada barikāžu dalībnieku biedrība,Latvijas Muzeju biedrība, ";"ICOM Latvijas Nacionālā komiteja"",,""Muzejs, atbilstoši savam profilam un muzeja misijai, veic šādas funkcijas:";1. Materiālās un nemateriālās kultūras vērtību uzkrāšana, dokumentēšana un saglabāšana;;2. Muzeja krājuma un ar to saistītās informācijas pētniecība;;3. Sabiedrības izglītošana, materiālās un nemateriālās kultūras popularizēšana, apmeklētāju iesaistīšana pasākumos un intereses radīšana par Latvijas neseno pagātni, neatkarības centieniem, vērtībām un tradīcijām;,8543,6440,429.00000000,206.00000000,,0.00000000,0.00000000,0,,,3973,387,61.00000000,64.00000000,61.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,4006,252,1764,,,50,0.00000000,50.00000000,1501.00000000,0.00000000,0.00000000,,,,1.00000000,1.00000000,0,0,0.00000000,0,1,0.00000000,,310.00000000,Teātra izrādes;Kora mūzikas koncerti;Kamermūzikas koncerti;Deju vakari;Konferences, semināri;Kino seansi;"Mākslas izstādes"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ādolfa Alunāna memoriālais muzejs,LV-MUZ-001366,""Filozofu iela 3, Jelgava, LV-3001"",56.64427,23.71035,277827,482237,Muzeji,Miks Vilnis,1978,""I. VISPĀRĪGIE NOTEIKUMI UN TIESISKAIS STATUSS";1.1. Jelgavas pilsētas IK lēmums Nr. 6 no 12.01.1966. par Ādolfa Alunāna memoriālā muzeja izveidošanu/darbojās kā sabiedriskais muzejs/ Jelgavā,L.Paegles ielā 3.;1.2. Latvija PSR KM pavēle Nr.166 no 23.03.78. par Ģ.Eliasa Jelgavas Vēstures un mākslas muzeja filiāles izveidošanu Ādolfa Alunāna memoriālajā mājā ( turpmāk Ā.Alunāna MM).;1.3. Ā.Alunāna MM adrese ir Filozofu iela 3, Jelgava, Latvijas Republika(ielas nosaukums atguvis agrāko nosaukumu).;1.3. Ā.Alunāna MM – filiāles vadītāju pieņem darbā un atbrīvo no tā Ģ.Eliasa Jelgavas VMM direktore, tā amata pienākumi noteikti amata aprakstā.;1.4. Filiāles vadītājs ir muzejā darbojošos Krājuma komisijas un Zinātniskās padomes loceklis.;,Latviešu teātra tēva Ādolfa Alunāna piemiņas iemūžināšana, ar viņa vārdu saistot teātra pirmsākumus, teātra spēlēšanas tradīcijas, to turpinājumu Jelgavā un Jelgavas un Ozolnieku novadā tagad un nākotnē. ; ;,Muzeja darbības virzieni:;1. Komplektēt un uzturēt muzeja krājumu.;2. Nodrošināt muzeja krājuma un pētniecības darba rezultātu pieejamību.;3. Pētīt Ādolfa Alunāna dzīvi un radošo darbību, latviešu teātra pirmsākumus un teātru darbību Jelgavā un Jelgavas un Ozolnieku novadā.;4. Organizēt dažādus tematiskos pasākumus un lekcijas par teātra vēsturi un novada kultūrvēsturi, vēstures un mākslas izstādes, tikšanās ar māksliniekiem un ievērojamām personībām u.c.;5. Uzturēt valsts nozīmes kultūrvēsturisku pieminekli – māju, kurā savus pēdējos mūža gadus pavadījis Ā. Alunāns.;",,http://www.alunans.lv,,Miks Vilnis,,Darba laiki;Ieejas maksa;Pakalpojumi;Atrašanās vieta;Iespējas apmeklējumam bez maksas vai ar atlaidi;Piemērotība cilvēkiem ar īpašām vajadzībām,,8/1A4,10.04.2015,29.04.2020,ĀAMM,Pašvaldības,Pašvaldības iestāde,,Latvijas Muzeju biedrība;Starptautiskās Muzeju padomes Latvijas Nacionālā komiteja (ICOM LNK),Pusdienas pārtraukums no 13:00 līdz 14:00,Muzeja darbības virzieni";1. Komplektēt un uzturēt muzeja krājumu.;2. Nodrošināt muzeja krājuma un pētniecības darba rezultātu pieejamību.;3. Pētīt Ādolfa Alunāna dzīvi un radošo darbību, latviešu teātra pirmsākumus un teātru darbību Jelgavā un Jelgavas un Ozolnieku novadā.;4. Organizēt dažādus tematiskos pasākumus un lekcijas par teātra vēsturi un novada kultūrvēsturi, vēstures un mākslas izstādes, tikšanās ar māksliniekiem un ievērojamām personībām u.c.;5. Uzturēt valsts nozīmes kultūrvēsturisku pieminekli – māju, kurā savus pēdējos mūža gadus pavadījis Ā.Alunāns.;,6861,5583,84.00000000,84.00000000,1,0.00000000,0.00000000,628,,,4140,712,1403.00000000,1392.00000000,1360.00000000,43.00000000,43.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1,1,,,84,695,1889,224,2512,672,,41,2.00000000,29.00000000,547.00000000,0.00000000,0.00000000,1,1,,8.00000000,8.00000000,2,,0.00000000,,3,0.00000000,306.00000000,187.00000000,Kamermūzikas koncerti;Konferences, semināri;Mākslas izstādes;"Izstādes pārdošanas"",Jā,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ainažu Ugunsdzēsības muzejs,LV-MUZ-001381,""Valdemāra iela 69, Ainaži, Salacgrīvas nov., LV-4035"",57.86223,24.35864,413428,521280,Muzeji,Anastasija Celma,1991,""1928.gadā Ainažu pilsētas valde piešķīra Ainažu brīvprātīgo ugunsdzēsēju biedrībai bezmaksas un mūža lietošanā ,,Māler""""māju ,kurā 1991.gada 15.decembrī ,Ainažu brīvprātīgo ugunsdzēsēju biedrības 65 gadu jubilejā ,tika atklāts Ainažu Ugunsdzēsības muzejs.Muzeja dibinātāji un veidotāji Ilga un Osvalds Bērziņi."",""Ainažu ugunsdzēsības muzeja misija ir padziļināt un godā celt sabiedrības izpratni par Ainažu brīvprātīgo ugunsdzēsēju biedrības darbību un tradīcijām, bagātinot ar zināšanām par vēsturiskajiem procesiem Ainažos no to pirmsākumiem līdz mūsdienām."",""Ainažu ugunsdzēsības muzeja darbības virzieni:";1) muzeja krājuma veidošana, uzturēšana,pieejamības nodrošināšana,;2) Ainažu brīvprātīgo ugunsdzēsēju biedrības un pilsētas vēstures izpēte,;3) brīvprātīgo ugunsdzēsēju kustības popularizēšana,;"4) muzeja darbības nodrošināšana un infrastruktūras pilnveidošana."",,,,,,,,61AA,26.04.2013,18.06.2018,AUM,Pašvaldības,Pašvaldības struktūrvienība,Salacgrīvas novada dome,,""Vasaras sezonā, no 1. jūnija līdz 30. septembrim, muzejs apmeklētājiem atvērts otrdien, trešdien, ceturtdien, piektdien, sestdien, svētdien no 10:00 līdz 17:00.";;Pirms valsts svētku dienām darba laiks tiek saīsināts par 1 stundu; valsts svētku dienās muzejs slēgts. ;;Iespējams pieteikt apmeklējumu ārpus muzeja darba laika, iepriekš piezvanot pa tālruni +371 29163881.    ;,Ainažu ugunsdzēsības muzeja misija ir padziļināt un godā celt sabiedrības izpratni par Ainažu brīvprātīgo ugunsdzēsēju biedrības darbību un tradīcijām , bagātinot ar zināšanām par vēsturiskajiem procesiem Ainažos no to pirmsākumiem līdz mūsdienām.;Muzeja darbības virzieni:;1) muzeja krājuma veidošana, uzturēšana un pieejamības nodrošināšana,;2) Ainažu brīvprātīgo ugunsdzēsēju biedrības un pilsētas vēstures tālāka izpēte,;3) ugunsdzēsēju kustības popularizēšana, veicinot apmeklētāju, īpaši skolu jaunatnes , prasmi rīkoties ekstremālos apstākļos,;4) muzeja darbības nodrošināšana un infrastruktūras pilnveidošana,;"5) muzeja darbinieku kvalifikācijas celšana."",2407,1749,30.00000000,9.00000000,60,0.00000000,0.00000000,940,1,,1786,164,262.00000000,162.00000000,146.00000000,163.00000000,116.00000000,0.00000000,0.00000000,8.00000000,6.00000000,2,2,4,1,,,1393,272,1840,438,,231,2.00000000,3.00000000,57.00000000,0.00000000,0.00000000,6,5,""Aptaujas anketas. Mērķis:";1) novērtēt esošo ekspozīciju, izstādes, gida stāstījumu,;2) noskaidrot, kādi ieteikumi vai priekšlikumi ekspozīcijas un muzeja darba organizēšanas uzlabošanai turpmākajam periodam . ;Secinājumi:;1) muzeja un gida darbs tiek vērtēts pozitīvi, ;"2) ieteikumi - vairāk stāstīt par ugunsdzēsēju darbā piedzīvoto, spilgtākos atgadījumus no dzēšanas darbiem, ir vēlme aprunāties ar ugunsdzēsējiem personīgi."",5.00000000,3.00000000,2,,0.00000000,,1,0.00000000,3126.00000000,98.00000000,,Jā,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aizkraukles vēstures un mākslas muzejs,LV-MUZ-001338,""Kalna Ziedi, Aizkraukle, Aizkraukles nov., LV-5101"",56.59886,25.27157,273459,578072,Muzeji,Dzintra Cepure,1951,""Aizkraukles vēstures un mākslas muzejs dibināts 1951. gadā kā Jēkabpils novadpētniecības un mākslas muzeja filiāle. No 1973. gada muzejs darbojas kā patstāvīga iestāde Koknesē. Sākot ar 1989. gadu muzejs atrodas Aizkraukles """"Kalna Ziedos""""- 20. gs. sākumā celtā zemnieku sētā."",""Izzināt, savākt, izpētīt un saglabāt Aizkraukles reģiona kultūrvēsturiskās materiālās un nemateriālās vērtības, īpašu vērību pievēršot nesenās pagātnes izpētei un popularizēšanai. Veidot un kopt Daugavas krastiem raksturīgo „Kalna Ziedu” kultūrvēsturisko kompleksu, iekļaujot to aktīvā tūrisma apritē"","" Darba virzieni:";-izzināt, savākt, apkopot Aizkraukles novada kultūrvēsturiskās materiālās un nemateriālās vērtības,;-popularizēt etnokultūru (izstādes, pasākumi),;-pētnieciskais darbs,;-muzejprogrammu īstenošana skolēniem un pieaugušajiem,;-izstāžu darbs - īstermiņa izstāžu veidošana muzejā un ārpus tā,;-atsevišķu tematisku pasākumu rīkošana,;"-""""Kalna Ziedu"""" kultūrvēsturiskā kompleksa uzturēšana,";-iekļaušanās tūrisma apritē,;-darbs pie Nacionālā muzeju krājuma kopkataloga,;" "",,,,,,,,,16.12.2016,15.12.2021,AiVMM,Pašvaldības,Pašvaldības iestāde,Aizkraukles novada dome,""Latvijas Muzeju biedrība ";ICOM;UNESCO LNK;"Biedrība """"Zemgales tūrisma asociācija"""""",,""Muzeja misija: """"Izzināt, savākt, izpētīt un saglabāt Aizkraukles reģiona kultūrvēsturiskās materiālās un nemateriālās vērtības, īpašu vērību pievēršot nesenās pagātnes izpētei un popularizēšanai. Veidot un kopt Daugavas krastiem raksturīgo „Kalna Ziedu” kultūrvēsturisko kompleksu, iekļaujot to aktīvā tūrisma apritē.";Misija aktualizēta 12.10.2016. ;Saskaņā ar misiju tiek plānota muzeja tālākā attīstība.;Muzejs veic:;-krājuma komplektēšanu, uzskaiti, saglabāšanu un izmantošanu atbilstoši noteikumiem par Nacionālo muzeja krājumu.;-zinātniskās pētniecības darbu muzejā, arhīvos, bibliotēkās, zinātniskās pētniecības iestādēs,;-ekspozīcijas iekārtošanu, kuras pamatā ir darbinieku izstrādātie zinātniskie un mākslinieciskie plāni un projekti,;"-izglītojošo un kultūras darbu: organizē pasākumus, vada ekskursijas, lasa lekcijas"",86809,73391,613.00000000,570.00000000,,0.00000000,0.00000000,261,,,11483,261,3022.00000000,2546.00000000,2505.00000000,224.00000000,224.00000000,314.00000000,293.00000000,112.00000000,112.00000000,3,2,1,1,,,3190,252,1512,784,,92,3.00000000,47.00000000,1079.00000000,0.00000000,0.00000000,31,30,Muzejā tiek veikta apmeklētāju anketēšana,7.00000000,6.00000000,1,9,8.00000000,9,2,1.00000000,20000.00000000,685.00000000,""Teātra izrādes";Kora mūzikas koncerti;Kamermūzikas koncerti;Konferences, semināri;Kino seansi;Mākslas izstādes;"Izstādes pārdošanas"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aizputes novadpētniecības muzejs - tūrisma informācijas punkts,LV-MUZ-001375,""Skolas iela 1, Aizpute, Aizputes nov., LV-3456"",56.72253,21.59816,289077,353026,Muzeji,Jolanta Berga,1993,Pašvaldības muzeja statusā kopš 1993. gada 6. aprīļa.";;  ;;;",""Balstoties uz savākto muzeja krājumu un tā izpētes rezultātiem, mūsdienīgām metodēm izglītot dažāda vecuma pilsētas iedzīvotājus un tās viesus, radot viņos izpratni un interesi par Aizputes pilsētas un tās apkārtnes vēsturi, ievērojamiem novadniekiem un šodienas notikumiem, celt pilsētas iedzīvotāju patriotisma un lepnuma jūtas par piederību tai, sekmēt viņu intelektuālo izaugsmi un dzīves kvalitātes celšanos."",""Muzejs misijas un mērķu realizēšanai veic sekojošas funkcijas:";- uztur un attīsta muzeja krājumu;;#���?;;- veic izglītojošo darbu;;- nodrošina muzeja pieejamību sabiedrībai, sniedz tūrisma informāciju;;"- uztur muzeja infrastruktūru."",""1. bloks - virtuāla muzeja ekspozīcija""""Pastaiga pa Aizputi pirms 100 gadiem un šodien""""";;2. bloks - informācija par muzeju un tā piedāvājumiem;;"3. bloks - aktualitātes muzejā."",http://www.aizputesmuzejs.lv/,2016,J. Berga,,Darba laiki";Ieejas maksa;Piemērotība cilvēkiem ar īpašām vajadzībām;Pakalpojumi;Atrašanās vieta;Autotransporta novietošanas iespējas;"Iespējas apmeklējumam bez maksas vai ar atlaidi,,53A4,03.11.2017,02.11.2022,ANM,Pašvaldības,Pašvaldības iestāde,Aizputes novada pašvaldība,Latvijas Muzeju biedrība,""Muzeja apmeklējums ārpus muzeja darba laika iespējams iepriekš vienojoties, zvanot pa tālruni 29623284"",""uztur un attīsta muzeja krājumu";;#���?;;-veic izglītojošo darbu;;-veic izstāžu darbību;-nodrošina muzeja pieejamību sabiedrībai, sniedz tūrisma informāciju;;"-uztur muzeja infrastruktūru"",13695,3805,267.00000000,225.00000000,0,0.00000000,0.00000000,978,,,4475,569,935.00000000,2190.00000000,917.00000000,26.00000000,18.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9,9,,,,,3054,280,2128,172,,193,6.00000000,9.00000000,225.00000000,13.00000000,394.00000000,1,1,Apmeklētāju mutiska aptauja";"Apmeklētāju anketēšana,10.00000000,8.00000000,2,0,0.00000000,0,8,1.00000000,8317.30000000,854.00000000,""Teātra izrādes";Simfoniskās mūzikas koncerti;Kamermūzikas koncerti;Konferences, semināri;Kino seansi;Mākslas izstādes;"Izstādes pārdošanas"",Jā,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aknīstes Novadpētniecības muzejs,LV-MUZ-012450,""Miera iela 1, Aknīste, Aknīstes nov., LV-5208"",56.16512,25.73584,225816,607792,Muzeji,Līga Jaujeniece,2017,,,,,,,,,,,,,,,Pašvaldības,,,,""Ekskursijas un konsultācijas vēlams iepriekš pieteikt pa tālruni 26436978 vai epastu - muzejs@akniste.lv "",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aktieru Amtmaņu muzejs,LV-MUZ-001339,""Zvanītāju Bukas, Valle, Valles pag., Vecumnieku nov., LV-5106"",56.50672,24.71623,262709,544083,Muzeji,Dace - Anna Zvaigzne,1985,""Muzejs ir izglītojoša institūcija, kura vāc un saglabā materiālās vērtības par aktieri, režisoru Teodoru Amtmani (1883. - 1938.)";aktieri, režisoru,Latviešu teātra pedagogu Alfredu Amtmani Briedīti(1885. - 1966.);"Viņu devumu Latviešu teātra mākslas attīstībā."",""Izcelt Valles pagasta ievērojamo cilvēku aktieru, režisoru, pedagogu Amtmaņu devumu Latviešu teātra mākslā. Saglabāt un uzturēt Valles pagasta teātra spēlēšanas tradīcijas tagad un nākotnē."",""Papildināt muzeja krājumu atbilstoši muzeja misijai, par brāļiem ";Teodoru Amtmani(1883. - 1938.);Alfredu Amtmani Briedīti(1885. - 1966.);Nodrošināt krājuma pieejamību sabiedrībai. ;Uzturēt saikni un veidot jaunas tikšanās ar NT ievērojamām personībām.;Piesaistīt skolu jaunatni kopīgiem teātra spēlēšanas pasākumiem. Muzeja darbību nodrošina sadarbība ar Vecumnieki novada Domi un vietējā sabiedrība. Muzeja krājuma papildināšana un saglabāšana, piesaistot NT aktierus, Alfreda Amtmaņa Briedīša prēmijas laureātus.;"Tūrisma pakalpojumu sniegšana, iepazīstinot ar Valles pagasta un Vecumnieku novada teritorijā esošajiem apskates objektiem. "",,,,,,,,41AA,02.05.2018,18.06.2018,AAM,Pašvaldības,Pašvaldības struktūrvienība,Vecumnieku novada pašvaldība,,""Ziemas sezonā, no 1. novembra līdz 1. maijam, ekskursijas muzejā un muzeja telpu noma jāpiesaka pa telefonu 26608478. "","" Saglabāt un uzturēt novada teātra spēlēšanas tradīcijas tagad un nākotnē, iesaistot skolu jaunatni.Nodrošināt muzeja pieejamību sabiedrībai. Muzeja krājuma papildināšana un saglabāšana. Tūrisma pakalpojumu sniegšana, iepazīstinot ar Valles pagasta un Vecumnieku novada teritorijā esošiem apskates objektiem.           ";              ;;"   "",,,,,,,,,,,,,66.00000000,116.00000000,43.00000000,52.00000000,23.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,183,288,1728,122,,21,0.00000000,4.00000000,92.00000000,0.00000000,0.00000000,5,5,Pozitīvas atsauksmes novada ziņu laikrakstā un novada mājas lapā";Muzeja apmeklētāju ieraksti viesu grāmatā. ;"Veikta apmeklētāju aptauja.,1.00000000,1.00000000,,,0.00000000,,3,0.00000000,3560.00000000,142.00000000,""Teātra izrādes";Konferences, semināri;Kino seansi;Mākslas izstādes;"Izstādes pārdošanas"",Jā,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aleksandra Čaka memoriālais dzīvoklis-muzejs,LV-MUZ-001402,""Lāčplēša iela 48-8, Rīga, LV-1011"",56.95251,24.12827,312107,507802,Muzeji,Antra Medne,1997,"" 1997. gada 4. marts";" "",""Nodrošināt radošu un profesionāli kvalitatīvu kultūrvides saglabāšanu Rīgas pilsētā, dodot iespēju visiem interesentiem iepazīt vienu no 20. gadsimta modernisma pārstāvjiem latviešu literatūrā – Aleksandru Čaku un viņa atstāto intelektuālo un sadzīves mantojumu, nodrošinot tā saglabāšanu, pieejamību, izmantojumu pētnieciskā darbā, veicinot sabiedrības interesi un sniedzot iespēju līdzdarboties Muzeja veidotajos kultūras procesos."",""Muzeja darbība - krājuma komplektēšana, saglabāšana un izmatošana. Pētnieciskā darba aktivizēšana, izmantojot Muzeja un citu radniecīgu kultūras iestāžu krājumu materiālus. Muzeja pieejamības nodrošinājums sabiedrībai, tā aktivitāšu integrācija Rīgas pilsētas kultūras projektos. "",Muzeja mājas lapa pieejama latviešu valodā,http://www.cakamuzejs.riga.lv/,2006";2014,muzeja darbinieki,,Darba laiki;Ieejas maksa;Pakalpojumi;Atrašanās vieta;Muzeja veikals;"Iespējas apmeklējumam bez maksas vai ar atlaidi,,112A,22.06.2017,21.06.2022,AČMD,Pašvaldības,Pašvaldības struktūrvienība,""Rīgas domes Izglītības, kultūras un sporta departamenta, Rīgas pašvaldības kultūras iestāžu apvienība"",Latvijas Muzeju biedrība";"ICOM,,"" Muzeja darbības virzieni un funkcijas formulētas muzeja misijā un reglamentā.";" "",3771,3771,89.00000000,89.00000000,69,0.00000000,0.00000000,550,,42,976,17,794.00000000,746.00000000,746.00000000,48.00000000,48.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,26,89,2025,254,2028,322,,124,113.00000000,30.00000000,466.00000000,4.00000000,68.00000000,15,8,Anketa,5.00000000,4.00000000,1,1,0.00000000,4,1,0.00000000,79.00000000,79.00000000,""Kamermūzikas koncerti";Konferences, semināri;Kino seansi;"Mākslas izstādes"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Alojas Novadpētniecības centrs,LV-MUZ-012455,""Ausekļa iela 1, Aloja, Alojas nov., LV-4064"",57.76459,24.87689,402839,552171,Muzeji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
