Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Arhitekturas gada balva," Kinoteatris ""Splendid Palace""",LV-ARHITEKT-000043,"Elizabetes iela 61, Riga, LV-1050",56.95358,24.11923,312226,507252
Arhitekturas gada bNVO-013009,"Laumas, ives pag., Talsu nov., LV-3261",57.37063,22.53026,359599,411610
Muzeji,"""Liepaja okupaciju režimos""",LV-MUZ-012338,"Klava Ukstina iela 7/9, Liepaja, LV-3401",56.50248,21.01074,266011,316025
Muzeji,"""Minhauzena muiža""- muzejs",LV-MUZ-012304,"Duntes muiža, Liepupes pag., Salacgrivas nov., LV-4023",57.40483,24.42537,362531,525559
Nevalstiskas organizacijas,"""Nodibinajums Maras loks""",LV-NVO-009448,"adminu iela 4A-2, Riga, LV-1009",56.949,24.14032,311718,508536
Kulturvesturiskas vietas,"""Ringu"" Bralu saiesanas nams",LV-VIE-000766,"Ringi, Blomes pag., Smiltenes nov., LV-4707",57.43334,25.75498,366985,605362
EU2015.lv,"""Swedbank"" centrala eka Ķipsala",LV-EU2015-000107,"Balasta dambis 15, alva," Saldus muzikas un makslas skola",LV-ARHITEKT-000060,"Avotu iela 12A, Saldus, Saldus nov., LV-3801",56.66657,22.48856,281293,407368
Bibliotekas," Stamerienas pagasta biblioteka",LV-BIB-000317,"Vecstameriena, Vecstameriena, Stamerienas pag., Gulbenes nov., LV-4406",57.21452,26.88812,344962,674406
Radosas industrijas,"""Hopp"" SIA ""Dizz""",LV-RADIND-000190,"Slokas iela 52, Riga, LV-1007",56.95386,24.06325,312252,503847
Nevalstiskas organizacijas,"""Laumu dabas parka"" fonds",LV-Riga, LV-1048",56.94887,24.08939,311699,505438
Bibliotekas,"""Tresais teva dels""",LV-BIB-013719,"Terbatas iela 53-2, Riga, LV-1011",56.9567,24.1271,312574,507730
Amatu prasmes,"""Valmiermuižas alus"" daritava",LV-PRS-000525,"Dzirnavu iela 2, Valmiermuiža, Valmieras pag., Burtnieku nov., LV-4219",57.5552,25.43119,380093,585639
Kulturvesturiskas vietas,"19.linija nr.3, Jurmala",LV-VIE-000244,"19. linija 3, Jurmala, LV-2010",56.99059,23.87988,316345,492701
Kulturvesturiskas vietas,"19.linija nr.4, Jurmala",LV-VIE-000245,"19. linija 4, Jurmala, LV-2010",56.99008,23.87832,316289,492606
Kulturvesturiskas vietas,"19.linija. nr.1, Jurmala",LV-VIE-000246,"19. linija 1, Jurmala, LV-2010",56.99094,23.87956,316384,492682
Muzeji,1991. gada barikažu muzejs,LV-MUZ-001464,"Kramu iela 3, Riga, LV-1050",56.94861,24.10595,311671,506445
Nevalstiskas organizacijas,1991.gada barikažu dalibnieku biedriba,LV-NVO-012881,"Kramu iela 3, Riga, LV-1050",56.94861,24.10595,311671,506445
Makslinieciskie kolektivi,29. Ziemeru mazpulks,LV-KOLEKTIVS-014668,"Liksmes, Marinkalns, Ziemera pag., Aluksnes nov., LV-4332",57.48795,26.97798,375617,678498
Arhitekturas gada balva,"8 melnie/ Kurzemes seta ",LV-ARHITEKT-000048,Kuldigas nov.,,,,
Bibliotekas,A. Spaga Dunalkas pamatskolas biblioteka,LV-BIB-012813,"Dunalkas skola, Dunalkas pag., Durbes nov., LV-3452",56.70165,21.31822,287389,335810
Kulturvesturiskas vietas,"A.Lerha-Puskaisa iela 3 un 5, Talsi",LV-VIE-000778,"Ansa Lerha-Puskaisa iela 3, Talsi, Talsu nov., LV-3201",57.24614,22.5833,345675,414511
Radosas industrijas,"A.Milleres individualais uznemums ""Atloce""",LV-RADIND-000329,"Ventspils iela 10, Sabile, Talsu nov., LV-3294",57.04725,22.57158,323553,413340
Radosas industrijas,"A.Reinholda individualais uznemums ""FOTO PLUS""",LV-RADIND-000058,"Liela iela 23, Talsi, Talsu nov., LV-3201",57.24404,22.59259,345429,415067
Arhitekturas gada balva,"A/S ""Diena"" biroju un redakciju telpu rekonstrukcija",LV-ARHITEKT-000021,"Mukusalas iela, Riga",,,,
Arhitekturas gada balva,A/S UPB birojs Riga,LV-ARHITEKT-000044,"Maskavas iela 250, Riga, LV-1063",56.91889,24.17211,308371,510478
Nevalstiskas organizacijas,AB.LV fonds,LV-NVO-012882,"Krisjana Barona iela 28, Riga, LV-1011",56.95201,24.12319,312051,507493
Makslinieciskie kolektivi,abelu pagasta dramas kolektivs,LV-KOLEKTIVS-012341,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta rokdarbniecu pulcins ""Bitites""",LV-KOLEKTIVS-012542,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta tautas nama Eiropas deju kopa ""abelietes""",LV-KOLEKTIVS-017159,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta tautas nama sieviesu ansamblis ""Elegija""",LV-KOLEKTIVS-012342,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Kulturas centri,abelu pagasta tautas nams,LV-NAMS-001611,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
